Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],City [city],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
Jim Halpert,JimH@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Jim,Halpert,Sales Representative,Sales,US,1726 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0002,000-000-0001
Pam Beesly,PamB@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Pam,Beesly,Receptionist,Administration,US,1727 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0003,000-000-0002
Dwight Schrute,DwightS@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Dwight,Schrute,Sales Representative,Sales,US,1728 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0004,000-000-0003
Andy Bernard,AndyB@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Andy,Bernard,Sales Representative,Sales,US,1729 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0005,000-000-0004
Ryan Howard,RyanH@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Ryan,Howard,Temporary Hire,Temporary,US,1730 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0006,000-000-0005
Stanley Hudson,StanleyH@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Stanley,Hudson,Sales Representative,Sales,US,1731 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0007,000-000-0006
Kevin Malone,KevinM@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Kevin,Malone,Accountant,Accounting,US,1732 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0008,000-000-0007
Meredith Palmer,MeredithP@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Meredith,Palmer,Supplier Relations Representative,Supplier Relations,US,1733 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0009,000-000-0008
Angela Palmer,AngelaP@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Angela,Palmer,Accountant,Accounting,US,1734 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0010,000-000-0009
Oscar Martinez,OscarM@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Oscar,Martinez,Accountant,Accounting,US,1735 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0011,000-000-0010
Phyllis Lapin,PhyllisL@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Phyllis,Lapin,Sales Representative,Sales,US,1736 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0012,000-000-0011
Kelly Kapoor,KellyK@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Kelly,Kapoor,Customer Service Representative,Customer Service,US,1737 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0013,000-000-0012
Toby Flenderson,TobyF@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Toby,Flenderson,Human Resources Representative,Human Resources,US,1738 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0014,000-000-0013
Creed Bratton,CreedB@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Creed,Bratton,Quality Assurance Representative,Quality Assurance,US,1739 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0015,000-000-0014
Darryl Philbin,DarrylP@ryanslearning.onmicrosoft.com,P@ssw0rd!,FALSE,Darryl,Phylbin,Warehouse Foreman,Warehouse,US,1740 Slough Avenue,PA,United States,Dunder Mifflin,Scranton,18501,999-999-0016,000-000-0015
